出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"115/05/01","115/3","6958","日盛台駿","其他","891976","750367","999311","18.871965318304245","-10.740900480431018","2567497","2893948","-11.280472213045984","-"
"115/05/01","115/3","6962","奕力-KY","半導體業","1378305","1074970","1587705","28.217996781305526","-13.188848054267009","3917703","4575248","-14.371789245085731","-"
"115/05/01","115/3","6965","中傑-KY","運動休閒","1830133","1406641","2326533","30.106615689433195","-21.33646933011481","4881896","6108069","-20.074642247820055","-"
"115/05/01","115/3","6969","成信實業*-創","綠能環保","23974","23839","27650","0.5662989219346449","-13.294755877034358","77977","75086","3.8502517113709613","-"
"115/05/01","115/3","6988","威力暘-創","汽車工業","58456","49409","72318","18.310429274018905","-19.168118587350314","169250","224448","-24.59277872825777","-"
"115/05/01","115/3","6994","富威電力","綠能環保","342738","166073","119460","106.37791814443047","186.9060773480663","841600","414047","103.26194852275225","依進度認列工程收入"
"115/05/01","115/3","7610","聯友金屬-創","綠能環保","463188","269795","43739","71.68146185066439","958.9816868241157","1001764","171601","483.7751528254497","3月單月及累積合併營收較去年同期分別增加959%及484%，主要在於鎢製品出貨價格及數量較去年同期增加，以及產品品項增加所致。"
"115/05/01","115/3","7631","聚賢研發-創","其他電子業","122497","135796","78817","-9.793366520368789","55.419516094243626","408511","204926","99.34561744239384","本月營收較去年同期成長，主要受惠於新加坡訂單挹注。"
"115/05/01","115/3","7705","三商餐飲","觀光餐旅","529317","562456","487400","-5.891838650489994","8.600123102174805","1604446","1510872","6.193377069665729","-"
"115/05/01","115/3","7711","永擎","電腦及週邊設備業","3548769","525774","1159092","574.9609147656598","206.1680177242186","8891334","4632547","91.9318681494219","顧客需求強勁"
"115/05/01","115/3","7721","微程式","數位雲端","49972","52316","38556","-4.480464867344598","29.608880589272747","143810","119754","20.08784675250931","-"
"115/05/01","115/3","7722","LINEPAY","數位雲端","700621","677149","607927","3.4662976686076474","15.247554393866368","2097389","1815808","15.507201201889186","-"
"115/05/01","115/3","7730","暉盛-創","半導體業","31679","20079","42364","57.7718013845311","-25.221886507411952","92232","83131","10.94778121278464","-"
"115/05/01","115/3","7732","金興精密","汽車工業","129845","81752","142299","58.82791858303161","-8.751994040717081","299982","332639","-9.817549956559514","-"
"115/05/01","115/3","7736","虎山","汽車工業","118692","109429","148270","8.464849354375897","-19.94874215957375","361079","423242","-14.687341993469458","-"
